Player,Position,Age,Teams
Payton Pritchard,SG,23,BOS
Immanuel Quickley,PG,21,NYK
Jahmi'us Ramsey,SG,19,SAC
Chasson Randle,PG,27,ORL
Julius Randle,PF,26,NYK
Cam Reddish,SF,21,ATL
J.J. Redick,SG,36,TOT
J.J. Redick,SG,36,NOP
J.J. Redick,SG,36,DAL
Paul Reed,PF,21,PHI
Naz Reid,C,21,MIN
Cameron Reynolds,SF,25,TOT
Cameron Reynolds,SF,25,SAS
Cameron Reynolds,SF,25,HOU
Nick Richards,PF,23,CHO
Josh Richardson,SG,27,DAL
Grant Riller,PG,23,CHO
Austin Rivers,SG,28,TOT
Austin Rivers,SG,28,NYK
Austin Rivers,SG,28,DEN
Andre Roberson,SG,29,BRK
Duncan Robinson,SF,26,MIA
Glenn Robinson III,SF,27,SAC
Jerome Robinson,SG,23,WAS
Justin Robinson,PG,23,OKC
Mitchell Robinson,C,22,NYK
Isaiah Roby,PF,22,OKC
Rajon Rondo,PG,34,TOT
Rajon Rondo,PG,34,ATL
Rajon Rondo,PG,34,LAC
Derrick Rose,PG,32,TOT
Derrick Rose,PG,32,DET
Derrick Rose,PG,32,NYK
Terrence Ross,SG,29,ORL
Terry Rozier,SG,26,CHO
Ricky Rubio,PG,30,MIN
D'Angelo Russell,PG,24,MIN
Domantas Sabonis,PF,24,IND
Luka Šamanić,PF,21,SAS
JaKarr Sampson,PF,27,IND
Dario Šarić,C,26,PHO
Tomáš Satoranský,SG,29,CHI
Dennis Schröder,SG,27,LAL
Mike Scott,PF,32,PHI
Jay Scrubb,SG,20,LAC
Collin Sexton,SG,22,CLE
Landry Shamet,SG,23,BRK
Iman Shumpert,SG,30,BRK
Pascal Siakam,PF,26,TOR
Chris Silva,PF,24,TOT
Chris Silva,PF,24,MIA
Chris Silva,PF,24,SAC
Ben Simmons,PG,24,PHI
Anfernee Simons,SG,21,POR
Deividas Sirvydis,SG,20,DET
Alen Smailagić,PF,20,GSW
Marcus Smart,PG,26,BOS
Dennis Smith Jr.,PG,23,TOT
Dennis Smith Jr.,PG,23,NYK
Dennis Smith Jr.,PG,23,DET
Ish Smith,PG,32,WAS
Jalen Smith,PF,20,PHO
Tony Snell,SG,29,ATL
Ray Spalding,C,23,HOU
Cassius Stanley,SG,21,IND
Lamar Stevens,PF,23,CLE
Isaiah Stewart,C,19,DET
Max Strus,SF,24,MIA
Edmond Sumner,SG,25,IND
Jae'Sean Tate,SF,25,HOU
Jayson Tatum,SF,22,BOS
Jeff Teague,PG,32,TOT
Jeff Teague,PG,32,BOS
Jeff Teague,PG,32,MIL
Garrett Temple,SG,34,CHI
Tyrell Terry,PG,20,DAL
Daniel Theis,C,28,TOT
Daniel Theis,C,28,BOS
Daniel Theis,C,28,CHI
Brodric Thomas,SG,24,TOT
Brodric Thomas,SG,24,HOU
Brodric Thomas,SG,24,CLE
Isaiah Thomas,PG,31,NOP
Khyri Thomas,SG,24,HOU
Matt Thomas,SG,26,TOT
Matt Thomas,SG,26,TOR
Matt Thomas,SG,26,UTA
Tristan Thompson,PF,29,BOS
Sindarius Thornwell,SG,26,TOT
Sindarius Thornwell,SG,26,NOP
Sindarius Thornwell,SG,26,ORL
Matisse Thybulle,SG,23,PHI
Killian Tillie,C,22,MEM
Xavier Tillman Sr.,PF,22,MEM
Anthony Tolliver,PF,35,PHI
Obi Toppin,PF,22,NYK
Juan Toscano-Anderson,SG,27,GSW
Axel Toupane,SF,28,MIL
Karl-Anthony Towns,C,25,MIN
Gary Trent Jr.,SG,22,TOT
Gary Trent Jr.,SG,22,POR
Gary Trent Jr.,SG,22,TOR
P.J. Tucker,PF,35,TOT
P.J. Tucker,PF,35,HOU
P.J. Tucker,PF,35,MIL
Rayjon Tucker,PG,23,PHI
Myles Turner,C,24,IND
Jonas Valančiūnas,C,28,MEM
Denzel Valentine,SG,27,CHI
Jarred Vanderbilt,PF,21,MIN
Fred VanVleet,SG,26,TOR
Anderson Varejão,C,38,CLE
Devin Vassell,SF,20,SAS
Gabe Vincent,PG,24,MIA
Noah Vonleh,PF,25,BRK
Nikola Vučević,C,30,TOT
Nikola Vučević,C,30,ORL
Nikola Vučević,C,30,CHI
Dean Wade,PF,24,CLE
Moritz Wagner,C,23,TOT
Moritz Wagner,C,23,WAS
Moritz Wagner,C,23,BOS
Moritz Wagner,C,23,ORL
Kemba Walker,PG,30,BOS
Lonnie Walker IV,SG,22,SAS
John Wall,PG,30,HOU
Brad Wanamaker,PG,31,TOT
Brad Wanamaker,PG,31,GSW
Brad Wanamaker,PG,31,CHO
T.J. Warren,SF,27,IND
P.J. Washington,PF,22,CHO
Yuta Watanabe,SF,26,TOR
Tremont Waters,PG,23,BOS
Paul Watson,SF,26,TOR
Quinndary Weatherspoon,SG,24,SAS
Russell Westbrook,PG,32,WAS
Coby White,PG,20,CHI
Derrick White,SG,26,SAS
Hassan Whiteside,C,31,SAC
Greg Whittington,PF,27,DEN
Andrew Wiggins,PF,25,GSW
Grant Williams,PF,22,BOS
Kenrich Williams,PF,26,OKC
Lou Williams,PG,34,TOT
Lou Williams,PG,34,LAC
Lou Williams,PG,34,ATL
Patrick Williams,PF,19,CHI
Robert Williams,C,23,BOS
Zion Williamson,PF,20,NOP
D.J. Wilson,PF,24,TOT
D.J. Wilson,PF,24,MIL
D.J. Wilson,PF,24,HOU
Dylan Windler,SF,24,CLE
Justise Winslow,SF,24,MEM
Cassius Winston,PG,22,WAS
James Wiseman,C,19,GSW
Christian Wood,C,25,HOU
Robert Woodard II,SF,21,SAC
Delon Wright,SG-PG,28,TOT
Delon Wright,SG,28,DET
Delon Wright,PG,28,SAC
Thaddeus Young,PF,32,CHI
Trae Young,PG,22,ATL
Cody Zeller,C,28,CHO
Ivica Zubac,C,23,LAC
